Product,Regular price,Sale price,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Energy (kcal),Carbohydrates,Sugars,Added sugars,Fats,Saturated fats,Unsaturated fats,Protein,Fiber,Salt
AH Franse baguettes,0.75,NA,Bakkerij,Afbakbrood,Stokbrood en ciabatta,NA,NA,NA,241,50,3.3,NA,1,0.2,0.8,7.2,1.7,0.9
Lea & Perrins Worcestershire saus,2.09,NA,"Soepen, sauzen, kruiden, olie",Smaakmakers,"Tafelsauzen, toevoegingen",Worcester sauce,NA,NA,96,21,19,NA,0.9,0.4,NA,0.8,NA,2.9
AH Aardappelballetjes,1.89,NA,Diepvries,Diepvries aardappelproducten,Aardappelballetjes,NA,NA,NA,137,21,0.7,NA,4.4,0.5,3.9,2.2,2.2,0.7
Campina Halfvolle yoghurt vanillesmaak,1.79,NA,"Zuivel, eieren, boter",Yoghurt en kwark,Yoghurt,Yoghurt met smaak,Vanille yoghurt,NA,78,12.2,11,NA,1.6,1.1,NA,3.1,NA,0.11
AH Galia meloen,2.49,NA,"Aardappel, groente, fruit",Fruit,"Meloen, kokosnoot",Meloenen,Galia meloen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Koffiefilters no2,0.79,NA,"Koffie, thee",Koffie,Koffieverrijkers,"Koffiefilters, suiker",Koffiefilter en overige,Koffiefilters,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Smeerkaas naturel,0.59,NA,Ontbijtgranen en beleg,Hartig broodbeleg,Smeerkaas,NA,NA,NA,255,2.4,2.4,NA,21,13,7.6,14,0,2.5
AH Roomkaas met kruiden,0.85,NA,Ontbijtgranen en beleg,Kaas beleg,Roomkaas,Roomkaas (kruiden),NA,NA,288,4.4,4.2,NA,28,18,7.2,4.6,0.1,1.4
Chiarli 1860 Lambrusco bianco,2.59,NA,Wijn en bubbels,Witte wijn,Overige witte wijn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cave de Beblenheim AOC Alsace riesling,7.29,NA,Wijn en bubbels,Witte wijn,Witte wijn - Fris en droog,Riesling (Fris en droog),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cave de Beblenheim Pinot blanc,5.79,NA,Wijn en bubbels,Witte wijn,Witte wijn - Fris en droog,Pinot Blanc (Fris en droog),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Fruitcocktail siroop,1.79,NA,"Soepen, sauzen, kruiden, olie",Conserven,Fruitconserven,Fruitmix (conserven),NA,NA,49,11,9.8,NA,0.1,0.1,0,0.4,1.4,0.03
AH Amsterdamse uien,0.85,NA,"Soepen, sauzen, kruiden, olie",Conserven,Groenteconserven,"Augurken, uitjes",Uitjes,NA,39,6.4,6,NA,0.2,0,0.2,1.5,1.5,0.7
Greenminds Schrijfblok A4 gelinieerd,2.59,NA,"Koken, tafelen, vrije tijd",Kantoorartikelen,Papierwaren,"Schriften, notitieboekjes",Blocnotes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
